stop,slide,relative_path,absolute_path,english_description,spanish_description
Tokyo + Haneda,1,images/Tokyo_Hakone/Tokyo_Part1/20260513_184420.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Tokyo_Part1/20260513_184420.jpg,Our first night in Tokyo after a 13 hour plane ride! We were both hungry and looking for a good place to eat.,Nuestra primera noche en Tokio después de un vuelo de 13 horas. Los dos teníamos hambre y estábamos buscando un buen lugar para comer.
Tokyo + Haneda,2,images/Tokyo_Hakone/Tokyo_Part1/20260513_185716.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Tokyo_Part1/20260513_185716.jpg,"Ginza Haruchan Ramen, unknowing to us at the time, became our favorite ramen restaurant of the entire trip. This $7 bowl had an official Michelin Star.","Ginza Haruchan Ramen, sin que lo supiéramos en ese momento, terminó siendo nuestro restaurante de ramen favorito de todo el viaje. Este tazón de 7 dólares tenía una estrella Michelin oficial."
Tokyo + Haneda,3,images/Tokyo_Hakone/Tokyo_Part1/20260514_103336.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Tokyo_Part1/20260514_103336.jpg,First day in Tokyo starting with the Imperial Palace! We got to see a royal procession! ,"Primer día en Tokio, empezando por el Palacio Imperial. ¡Nos tocó ver una procesión real!"
Tokyo + Haneda,4,images/Tokyo_Hakone/Tokyo_Part1/20260514_111813.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Tokyo_Part1/20260514_111813.jpg,The true size and scale of the palace was something otherworldly which I was not able to capture in a single picture. The gardens were also FREE to access! I was incredibly impressed with the structure of the moats.,"El verdadero tamaño y la escala del palacio eran de otro mundo, algo que no pude capturar en una sola foto. ¡Además, la entrada a los jardines era GRATIS! Me impresionó muchísimo la estructura de los fosos."
Tokyo + Haneda,5,images/Tokyo_Hakone/Tokyo_Part1/20260514_134106.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Tokyo_Part1/20260514_134106.jpg,Shibuya Crossing! We had to do it. Were there a lot of people? Yes. Did it only take 30 seconds to cross? Yes. Was it still exciting… Yes!,¡El cruce de Shibuya! Teníamos que hacerlo. ¿Había mucha gente? Sí. ¿Tardamos solo 30 segundos en cruzar? Sí. ¿Aun así fue emocionante? ¡Sí!
Tokyo + Haneda,6,images/Tokyo_Hakone/Tokyo_Part1/20260514_160211.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Tokyo_Part1/20260514_160211.jpg,The gates at Meiji Temple were breathtaking. We have no words to describe how serene the monolithic presence of nature was there. ,Las puertas del Santuario Meiji nos dejaron sin aliento. No tenemos palabras para describir lo serena que se sentía esa presencia enorme de la naturaleza.
Tokyo + Haneda,7,images/Tokyo_Hakone/Tokyo_Part1/20260514_164443.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Tokyo_Part1/20260514_164443.jpg,"We could have spent hours walking through Meiji Temple grounds, but we were on a mission and made it through to the main temple within about 30 minutes of walking. ","Podríamos haber pasado horas caminando por los terrenos del Santuario Meiji, pero íbamos con una misión y llegamos al santuario principal después de unos 30 minutos caminando."
Hakone,1,images/Tokyo_Hakone/Hakone/20260515_113906.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_113906.jpg,We made it to Hakone! The Romancecar from Tokyo to Hakone was absolutely worth it. We were stunned by just how much NATURE was found throughout the entire ride. ,¡Llegamos a Hakone! El Romancecar de Tokio a Hakone valió totalmente la pena. Nos sorprendió la cantidad de NATURALEZA que había durante todo el trayecto.
Hakone,2,images/Tokyo_Hakone/Hakone/20260515_140506.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_140506.jpg,"While waiting for our ryokan (hot springs inn) room to be ready, we explored the small town we were staying in. Hakone Sekisho was a representation of one of the outposts that used to Lake Ashi! It was so cool to see all the historical pieces and read about them as we went through!","Mientras esperábamos que estuviera lista nuestra habitación en el ryokan (posada con aguas termales), exploramos el pueblito donde nos quedábamos. Hakone Sekisho era una recreación de uno de los antiguos puestos de control junto al lago Ashi. ¡Fue increíble ver todas las piezas históricas y leer sobre ellas mientras lo recorríamos!"
Hakone,3,images/Tokyo_Hakone/Hakone/20260515_144648.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_144648.jpg,"The lake was rather large, and Carolina and I had plenty of time. We walked down a forest path and found a smaller pond, shown behind us, off to the side of Lake Ashi.","El lago era bastante grande, y Carolina y yo teníamos tiempo de sobra. Caminamos por un sendero en el bosque y encontramos un estanque más pequeño, el que se ve detrás de nosotros, a un lado del lago Ashi."
